% 
% 
@RELATION MPO 
@ATTRIBUTE 1 REAL
@ATTRIBUTE 2 REAL
@ATTRIBUTE 3 REAL
@ATTRIBUTE 4 REAL
@ATTRIBUTE 5 REAL
@ATTRIBUTE 6 REAL
@ATTRIBUTE class {C02, C01, C03} 

@DATA 
237.04464,2080.3309151785634,-63.121797916436186,78.9644712071087,6.881898167430238E-4,1.852268588185924,C01
240.93622,1553.3785857455614,-56.68246777036328,71.69511506561909,5.499010828821326E-4,1.6184155252809134,C01
240.58291,1603.1742486854594,-57.71851336359974,73.01129117380721,5.889473136193254E-4,1.647497514779327,C01
238.5727,1744.015122279805,-57.85773653346402,72.40161996163627,7.10966784673053E-4,1.9006979432634594,C01
239.47704,2041.614268794208,-66.40260265904898,84.38989849618902,5.043471470220742E-4,1.594553931592204,C01
240.44133,1652.6751288525575,-58.63930390111537,74.27963451961016,5.612895668471471E-4,1.6640031866132925,C01
244.89668,1108.1564175734152,-50.832791040979096,65.67724319132041,2.8959287796751355E-4,1.1469468391645783,C01
244.38903,1371.5004408970192,-58.17680168350299,75.80895695060678,2.6193513119533534E-4,1.1480635676742188,C01
244.04974,1220.315127485983,-52.76245302670408,67.81863311493198,3.8558152852977937E-4,1.2958456965706553,C01
239.52041,1748.5455018742514,-59.22267702376502,74.49185622741378,4.63673990004165E-4,1.6649531212597297,C01
240.90944,1615.2328700932114,-58.26820301068232,73.67450780703425,4.6855476884631413E-4,1.5783014588176942,C01
244.24872,1362.8883912302456,-57.5107054614433,74.69311810708916,3.1562369845897545E-4,1.1873855532899582,C01
241.64923,1472.6256881898073,-56.030572058103964,71.07256636276439,4.571662848812996E-4,1.5365891883045946,C01
243.0574,1400.648491188557,-56.29641036371103,72.31980450200298,2.895928779675136E-4,1.2992128061663426,C01
243.49362,1254.1785307554117,-52.962601235046634,67.8183836776929,4.083584964598084E-4,1.3730155537862145,C01
235.03699,2151.4718460406853,-62.334863341116325,77.53110323279081,8.313593294460638E-4,2.178482031282306,C01
239.58673,1596.0639056643338,-55.96012831949769,70.20169016914704,7.125937109537691E-4,1.7632796055896018,C01
236.75255,1911.3622383902639,-59.06235611291972,73.67256673698691,6.458897334443981E-4,1.9961657679583107,C01
240.41582,1663.620464129552,-58.6025486673047,73.94100426229052,5.173625572678052E-4,1.6147817506882767,C01
238.20918,1859.5888952519929,-60.08322172822309,75.22865730916747,5.87320387338609E-4,1.8463230342581953,C01
239.87883,1727.741694541356,-59.69884113065642,75.80300326639176,4.994663681799252E-4,1.6049746795591173,C01
240.97959,1582.2189712619856,-57.531684586935995,73.00087118397202,3.8232767596834663E-4,1.499219418484279,C01
241.12245,1565.8523531861663,-57.64217311442527,73.54711984632257,5.222433361099542E-4,1.5728388558545352,C01
240.97832,1746.0110094101392,-61.532390122531964,78.2158569185029,4.490316534777177E-4,1.4207766231215246,C01
241.96173,1603.9245561744917,-59.59700895325378,76.09675539324398,3.009813619325282E-4,1.386646583470734,C01
234.50383,1971.079066990336,-57.63940661238649,71.05978940440673,9.371095376926277E-4,2.415232718755927,C01
237.14286,1906.2193877551138,-59.49551297017144,73.98365910156554,8.573901499375257E-4,1.9808525612360532,C01
